sku,name,category,current_price,cost_price,inventory_quantity,description
SKU-ELE-001,UltraSound Wireless Earbuds,Electronics,8299.17,3320.00,150,High-fidelity noise-cancelling wireless earbuds with 30-hour battery life.
SKU-ELE-002,Smart Watch Series X,Electronics,16599.17,7470.00,85,Advanced smart watch featuring real-time health metrics and built-in GPS tracking.
SKU-APP-101,Men's Slim Fit Denim Jeans,Apparel,4149.17,1245.00,320,Premium stretch denim slim-fit jeans in a classic dark wash style.
SKU-APP-102,Unisex Classic Cotton Hoodie,Apparel,3319.17,1037.50,450,Ultra-soft fleece hoodie with kangaroo pocket and adjustable drawstring hood.
SKU-FIT-201,Ergonomic Yoga Mat,Fitness,2489.17,664.00,180,Non-slip extra-thick yoga and pilates exercise mat made from eco-friendly TPE.
SKU-FIT-202,Adjustable Dumbbell Set (Pair),Fitness,12449.17,5395.00,45,Heavy-duty space-saving adjustable weight dumbbells ranging from 5 to 52.5 lbs.
SKU-ELE-003,Portable Bluetooth Speaker,Electronics,4979.17,1826.00,210,IPX7 waterproof rugged outdoor bluetooth speaker with 360-degree sound.
SKU-APP-103,Athletic Running Sneakers,Apparel,6639.17,2490.00,95,Lightweight breathable knit athletic running shoes with responsive foam cushioning.
SKU-FIT-203,Stainless Steel Water Bottle 1L,Fitness,2074.17,498.00,400,Double-walled vacuum insulated water bottle keeping drinks cold for 24 hours.
SKU-ELE-004,Mechanical Gaming Keyboard,Electronics,7469.17,2905.00,120,Tactile mechanical blue switches gaming keyboard with custom RGB backlighting.
